event_id,date,latitude,longitude,state,district,trigger,landslide_type,fatalities,injuries,source,description
EVT023,2015-07-12,24.37,92.17,Tripura,North Tripura,rainfall,debris_flow,0,0,GSI,Highway 8 blocked.
EVT024,2016-08-08,26.75,94.22,Assam,Jorhat,rainfall,mudslide,0,0,media_report,Riverbank erosion led to mudslide.
EVT025,2017-05-30,27.30,88.24,Sikkim,West Sikkim,rainfall,rockslide,1,0,NASA_GLC,Tourist vehicle hit by rock.
EVT026,2018-07-22,27.53,93.83,Arunachal Pradesh,Lower Subansiri,rainfall,debris_flow,3,5,GSI,Village affected by debris flow.
EVT027,2019-06-18,25.52,90.22,Meghalaya,West Garo Hills,rainfall,mudslide,2,0,NESAC,Hillock collapse.
EVT028,2020-08-11,25.12,94.37,Manipur,Ukhrul,rainfall,translational,0,0,media_report,Road connectivity lost for a week.
EVT029,2021-07-05,23.47,93.33,Mizoram,Champhai,rainfall,debris_flow,1,2,GSI,Agricultural land washed away.
EVT030,2022-06-15,26.10,94.27,Nagaland,Wokha,rainfall,rockslide,0,0,NESAC,Highway 2 blocked.
EVT031,2023-08-20,27.17,88.35,Sikkim,South Sikkim,rainfall,mudslide,0,0,media_report,Local road damaged.
EVT032,2024-06-10,23.92,91.85,Tripura,Dhalai,rainfall,debris_flow,1,1,NASA_GLC,Rural house destroyed.
EVT033,2010-08-25,26.14,91.73,Assam,Kamrup Metropolitan,rainfall,mudslide,2,4,GSI,Landslide in Narakasur hill.
EVT034,2011-05-15,28.06,95.33,Arunachal Pradesh,East Siang,rainfall,debris_flow,0,0,NESAC,Pre-monsoon debris flow.
EVT035,2012-07-08,25.27,94.02,Manipur,Senapati,rainfall,rockslide,1,0,media_report,NH-2 blocked by rocks.
EVT036,2013-09-02,23.30,92.83,Mizoram,Serchhip,rainfall,translational,0,0,GSI,Slope failure near highway.
EVT037,2014-08-17,26.75,95.10,Nagaland,Mon,rainfall,mudslide,0,0,NESAC,Coal mining area mudslide.
EVT038,2015-06-20,24.32,92.01,Tripura,Unakoti,rainfall,debris_flow,0,0,media_report,Rail track blocked.
EVT039,2016-07-28,25.52,91.27,Meghalaya,West Khasi Hills,rainfall,rockslide,0,0,NASA_GLC,Minor rockfall on SH.
EVT040,2017-08-14,27.30,88.36,Sikkim,South Sikkim,rainfall,mudslide,0,0,GSI,Tea garden affected.
EVT041,2018-06-22,27.58,91.86,Arunachal Pradesh,Tawang,rainfall,debris_flow,0,0,NESAC,Road to forward posts blocked.
EVT042,2019-08-05,24.82,92.79,Assam,Cachar,rainfall,mudslide,1,0,media_report,Barak valley mudslide.
EVT043,2020-07-11,25.67,94.10,Nagaland,Kohima,rainfall,translational,0,0,GSI,Retaining wall collapsed.
EVT044,2021-06-25,23.73,92.72,Mizoram,Aizawl,rainfall,debris_flow,2,1,NESAC,Debris flow in Laipuitlang area.
EVT045,2022-08-18,25.18,93.01,Assam,Dima Hasao,rainfall,rockslide,0,0,media_report,Haflong road blocked again.
EVT046,2023-07-04,24.82,93.95,Manipur,Imphal West,rainfall,mudslide,0,0,NASA_GLC,Urban hillock slide.
EVT047,2024-07-15,25.57,91.88,Meghalaya,East Khasi Hills,rainfall,debris_flow,1,2,GSI,Shillong-Guwahati highway blocked.
EVT048,2010-09-12,27.33,88.62,Sikkim,East Sikkim,rainfall,translational,0,0,NESAC,NH10 blocked.
EVT049,2011-08-01,23.53,91.48,Tripura,Gomati,rainfall,mudslide,0,0,media_report,Rural road damaged.
EVT050,2012-06-18,26.43,91.43,Assam,Nalbari,rainfall,debris_flow,0,0,GSI,Embankment failure.
EVT051,2013-07-25,27.08,93.61,Arunachal Pradesh,Papum Pare,rainfall,rockslide,1,1,NESAC,Itanagar-Naharlagun road blocked.
EVT052,2014-09-08,25.45,92.20,Meghalaya,West Jaintia Hills,rainfall,mudslide,0,0,media_report,NH44 disrupted.
EVT053,2015-06-30,24.33,93.68,Manipur,Churachandpur,rainfall,translational,0,0,NASA_GLC,Minor slide.
EVT054,2016-08-22,22.88,92.73,Mizoram,Lunglei,rainfall,debris_flow,0,0,GSI,Road blocked.
EVT055,2017-07-14,26.33,94.53,Nagaland,Mokokchung,rainfall,rockslide,0,0,NESAC,Boulders on road.
EVT056,2018-09-02,27.50,88.53,Sikkim,North Sikkim,rainfall,mudslide,0,0,media_report,Mangan road blocked.
EVT057,2019-06-25,24.37,92.17,Tripura,North Tripura,rainfall,translational,0,0,GSI,Agartala-Sabroom road affected.
EVT058,2020-08-18,25.83,93.42,Assam,Karbi Anglong,rainfall,debris_flow,0,0,NESAC,Diphu road blocked.
EVT059,2021-07-12,27.26,92.42,Arunachal Pradesh,West Kameng,rainfall,rockslide,0,0,media_report,Bhalukpong-Bomdila axis blocked.
EVT060,2022-09-05,25.27,91.73,Meghalaya,East Khasi Hills,rainfall,mudslide,0,0,NASA_GLC,Cherrapunji local road blocked.
EVT061,2023-06-15,25.12,94.37,Manipur,Ukhrul,rainfall,debris_flow,0,0,GSI,NH202 blocked.
EVT062,2024-08-01,23.47,93.33,Mizoram,Champhai,rainfall,translational,0,0,NESAC,Border road affected.
EVT063,2010-07-28,26.10,94.27,Nagaland,Wokha,rainfall,rockslide,0,0,media_report,Minor rockslide.
EVT064,2011-06-15,27.17,88.35,Sikkim,South Sikkim,rainfall,mudslide,0,0,GSI,Namchi road blocked.
EVT065,2012-08-22,23.92,91.85,Tripura,Dhalai,rainfall,debris_flow,0,0,NESAC,NH8 blocked.
EVT066,2013-07-10,25.75,93.17,Assam,Hojai,rainfall,translational,0,0,media_report,Lumding railway line affected.
EVT067,2014-06-05,27.53,93.83,Arunachal Pradesh,Lower Subansiri,rainfall,rockslide,0,0,NASA_GLC,Ziro road blocked.
EVT068,2015-09-15,25.52,90.22,Meghalaya,West Garo Hills,rainfall,mudslide,0,0,GSI,Tura road blocked.
EVT069,2016-07-20,25.27,94.02,Manipur,Senapati,rainfall,debris_flow,0,0,NESAC,NH2 blocked.
EVT070,2017-08-08,23.30,92.83,Mizoram,Serchhip,rainfall,translational,0,0,media_report,Minor slide.
EVT071,2018-06-12,26.75,95.10,Nagaland,Mon,rainfall,rockslide,0,0,GSI,Mon road blocked.
EVT072,2019-07-30,27.30,88.24,Sikkim,West Sikkim,rainfall,mudslide,0,0,NESAC,Pelling road blocked.
EVT073,2020-09-10,24.32,92.01,Tripura,Unakoti,rainfall,debris_flow,0,0,media_report,Kailashahar road blocked.
EVT074,2021-06-05,27.23,94.10,Assam,Lakhimpur,rainfall,translational,0,0,NASA_GLC,North Lakhimpur slide.
EVT075,2022-07-25,28.06,95.33,Arunachal Pradesh,East Siang,rainfall,rockslide,0,0,GSI,Pasighat road blocked.
EVT076,2023-08-12,25.52,91.27,Meghalaya,West Khasi Hills,rainfall,mudslide,0,0,NESAC,Nongstoin road blocked.
EVT077,2024-06-28,24.33,93.68,Manipur,Churachandpur,rainfall,debris_flow,0,0,media_report,Churachandpur road blocked.
EVT078,2010-08-15,22.88,92.73,Mizoram,Lunglei,rainfall,translational,0,0,GSI,Lunglei road blocked.
EVT079,2011-09-05,26.33,94.53,Nagaland,Mokokchung,rainfall,rockslide,0,0,NESAC,Mokokchung road blocked.
EVT080,2012-07-20,27.30,88.36,Sikkim,South Sikkim,rainfall,mudslide,0,0,media_report,Ravangla road blocked.
